Name,Website,Institution,Klassifikation,Kurz Beschreibung,Schlagwörter,Land,Sprache,Software / Modell / Format,Lizenz,Open access,Aktuell/gepflegt,Betrifft Konservierung/Restaurierung,Betrifft Denkmalschutz
Visual Glossary - Australian Institute for the Conservation of Cultural Material,https://aiccm.org.au/conservation/visual-glossary/,Australian Institute for the Conservation of Cultural,Vokabular,"Visuell gestütztes Glossar zu Schadensphänomenen an Kulturgut mit über 60 Begriffserklärungen. Enthalten sind Kurzdefinitionen und Bildbeispiele zu Zuständen, Alterungsspuren und Schäden an unterschiedlichen Materialien.",,AUS,englisch,HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,FALSE
VLA Zeitstrahl,https://www.landesarchaeologien.de/fileadmin/mediamanager/004-Kommissionen/Archaeologie-und-Informationssysteme/Thesauri/Zeitstrahl_V01.pdf ,Verband der Landesn in der Bundesrepublik Deutschland e. V.,Vokabular,Zeitstrahl zur Parallelisierung archäologischen Zeitstufen in verschiedenen Regionen Deutschlands. Handreichung für den Vergleich von Datensätzen aus verschiedenen Landesämtern bzw. Bundesländern.,,DE,deutsch,PDF,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,FALSE,TRUE,TRUE
VLA Datierung-Begriffsliste,https://www.landesarchaeologien.de/kommissionen/archaeologie-und-informationssysteme/projekte-9,Verband der Landesn in der Bundesrepublik Deutschland e. V.,Vokabular,"Begriffsliste zur groben Datierung von Fundstellen, für ADeX entwickelt.",,DE,deutsch,html,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,FALSE,FALSE,TRUE
VLA Grabungsrichtlinien,https://www.landesarchaeologien.de/kommissionen/grabungstechnik/mitglieder/grabungsstandards,Verband der Landesn in der Bundesrepublik Deutschland e. V.,Fachtext,"Empfehlungen für die Planung, Durchführung und Dokumentation archäologischer Ausgrabungen. Enthält Grundinformationen zur Ausstattung und Dokumentation einer Ausgrabung und behandelt in verschiedenen Abschnitten die Bereiche Siedlungs-, Gräber- und Unterwasser ebenso wie die Durchführung von vorbereitenden Prospektionen. Sehr wichtig sind Informationen zur Behandlung von Funden und von verschiedenartigen naturwissenschaftlichen Proben. Diese Handreichung soll einen Grundstandard innerhalb der vielseitigen Richtlinien der Länder schaffen.",,DE,deutsch,PDF,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,FALSE,FALSE,TRUE
VLA Positionsgenauigkeit-Begriffsliste,https://www.landesarchaeologien.de/fileadmin/mediamanager/004-Kommissionen/Archaeologie-und-Informationssysteme/ADeX/ADeX_2-0_Doku.pdf ,Verband der Landesn in der Bundesrepublik Deutschland e. V.,Vokabular,"Begriffsliste zur Genauigkeit von Positionsangaben, mit Abstufungen je nach Fehlerquote bzw. Vermessungsungenauigkeit. Für ADeX entwickelt.",,DE,deutsch,PDF,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,FALSE,FALSE,TRUE
VLA Typ-Begriffsliste,https://www.landesarchaeologien.de/kommissionen/archaeologie-und-informationssysteme/projekte-9,Verband der Landesn in der Bundesrepublik Deutschland e. V.,Vokabular,"Begriffsliste zur groben Bestimmung des Fundstellentypen, für ADeX entwickelt.",,DE,deutsch,html,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,FALSE,FALSE,TRUE
Vorgaben zur Dokumentation archäologischer Ausgrabungen in Bayern,https://www.blfd.bayern.de/mam/information_und_service/fachanwender/dokuvorgaben_april_2020.pdf,Bayerisches Landesamt für Denkmalpflege,Fachdokumentation,"Grabungsrichtlinien des Landes Bayern, sowie zugehörige Vorgaben zur Datenstruktur und Formularvorgaben.",,DE,deutsch,PDF,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,FALSE,TRUE
Wand- und Deckenmalerei in Lübecker Bürgerhäusern 1300 bis 1800,https://www.wandmalerei-luebeck2020.uni-kiel.de/hv1.php?,Universität Kiel,"Repositorium, Fachdokumentation",Datenbank mit Informationen zur Wand- und Deckenmalerei in Lübecker Bürgerhäusern von 1300 bis 1800.,,DE,deutsch,html,Alle Rechte vorbehalten / Nutzung nur mit Genehmigung,TRUE,FALSE,TRUE,TRUE
Web Feature Service,https://www.ogc.org/standards/wfs/,Open Geospatial Consortium,"Datenschema, Anwendung/Software","Geodaten-Dienst, der Vektordaten, wie z.B. Punkt-, Linien- und Flächengeometrien, mit zusätzlichen Informationen (Attributen) über das Internet bereitstellt. Dieser Standard definiert den direkten, feinkörnigen Zugriff auf geografische Informationen auf Feature- und Feature-Eigenschaftsebene durch die Angabe von Discovery-, Abfrage-, Sperr- und Transaktionsvorgängen sowie Vorgängen zur Verwaltung gespeicherter, parametrisierter Abfrageausdrücke. Dieser Standard umfasst 11 Vorgänge, z. B. GetCapabilities (Discovery-Vorgang). Er ist weiterhin ein zuverlässiges Mittel, um Geodaten im Web bereitzustellen. ",,diverse,diverse,"HTTP, XML, XLink, GML",Keine spezifische Lizenz angegeben; urheberrechtlich geschützt / © 1994 - 2025 Open Geospatial Consortium,TRUE,TRUE,FALSE,TRUE
Web Map Service,https://www.ogc.org/de/standards/wms/,Open Geospatial Consortium,Datenschema,"Dieser Standard bietet eine einfache HTTP-Schnittstelle zum Anfordern georegistrierter Kartenbilder aus einer oder mehreren verteilten Geodatenbanken. Eine WMS-Anforderung definiert die zu verarbeitenden geografischen Ebenen und Interessenbereiche. Die Antwort auf die Anforderung besteht aus einem oder mehreren georegistrierten Kartenbildern (zurückgegeben als JPEG, PNG usw.), die in einer Browseranwendung angezeigt werden können.",,diverse,diverse,"HTTP, XML, JPG, PNG, TIFF",Keine spezifische Lizenz angegeben; urheberrechtlich geschützt / © 1994 - 2025 Open Geospatial Consortium,TRUE,TRUE,FALSE,TRUE
Web Ontology Language (OWL),https://de.wikipedia.org/wiki/Web_Ontology_Language ; https://www.w3.org/TR/owl2-primer/ ,World Wide Web Consortium (W3C),"Ontologie, Datenschema","Die W3C OWL 2 Web Ontology Language (OWL) ist eine semantische Websprache, die entwickelt wurde, um umfangreiches und komplexes Wissen über Dinge, Gruppen von Dingen und Beziehungen zwischen Dingen darzustellen. OWL ist eine auf Computerlogik basierende Sprache, so dass in OWL ausgedrücktes Wissen von Computerprogrammen verarbeitet werden kann, um entweder die Konsistenz dieses Wissens zu überprüfen oder um implizites Wissen explizit zu machen. OWL-Dokumente, so genannte Ontologien, können im World Wide Web veröffentlicht werden und können auf andere OWL-Ontologien verweisen oder von diesen referenziert werden.",,diverse,diverse,"OWL, RDF/XML","Keine spezifische Lizenz angegeben; urheberrechtlich geschützt / © 2012 W3C® (MIT, ERCIM, Keio)",TRUE,TRUE,TRUE,TRUE
Wortnetz Kultur (WNK),https://wnk-viewer.lvr.de/,"digiCult, Landschaftsverband Rheinland (LVR)",Vokabular,"FAIRer Thesaurus für die digitale Erschließung von Kulturgütern. Er bedient vielfältige Themen wie Kunst, Kulturlandschaft oder Kulturanthropologie. Teilweise illustriert. Zudem bestehen standardmäßig Verknüpfungen zu AAT (Art & Architecture Thesaurus), GND (Gemeinsame Normdatei) und Wikidata, sowie weitere Verbindungen zu anderen Normdaten.",,DE,deutsch,"JSON, RDF/XML, JSON-LD, Turtle, N-Triples, TriG",CC BY 4.0,TRUE,TRUE,TRUE,TRUE
Spectrum,https://collectionstrust.org.uk/spectrum/spectrum-5/,Collections Trust,Datenschema,"International genutzter Standard für Museums-Sammlungsmanagement, der beschreibt, wie Museen die Objekte in ihren Sammlungen und die dazugehörigen Informationen systematisch dokumentieren und verwalten sollten. Er gliedert die alltäglichen Aufgaben des Sammlungsmanagements in ""Prozeduren“, z. B. Objektaufnahme, Inventar, Katalogisierung, Ausleihe und Standortkontrolle, mit klaren Mindestanforderungen und Empfehlungen zur guten Praxis. Spectrum dient als gemeinsame Grundlage für interne Abläufe, Sammlungspolitiken und auch für die Auswahl bzw. Gestaltung von collections-management-Systemen, ist aber kein Softwareprodukt selbst",,UK,englisch,PDF,urheberrechtlich geschützt. © Collections Trust 2022; darf für non-commercial use in Museen oder Sammlungen intern verwendet werden,TRUE,TRUE,TRUE,TRUE
Canadian Conservation Institute (CCI) Notes,https://www.canada.ca/en/conservation-institute/services/conservation-preservation-publications/canadian-conservation-institute-notes.html,Canadian Conservation Institute (CCI),"Fachdokumentation, Repositorium","Online-Portal mit einer Serie frei zugänglicher praxisorientierter Publikationen mit Anleitungen und Empfehlungen zur Pflege, Handhabung, Lagerung und konservatorisch-restauratorischer Behandlung kultureller Objekte und Sammlungen. Die über 100 einzelnen Hefte decken Themen wie präventive Konservierung, Materialpflege (z. B. Metall, Holz, Textil, Papier, Glas), biologische Risiken oder Notfallplanung ab und enthalten häufig Illustrationen, Bibliographien und praktische Hinweise.",,CAN,englisch,"HTML, PDF","Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Government of Canada, Canadian Conservation Institute, 2025",TRUE,TRUE,TRUE,FALSE
